"uid","vin","ys_time_stamp","sourceSystem","validationFlag","latitude","longitude","angle","custom1","custom2","custom3","custom4","location1","location2","location3","location4","image"
"062283523_N6E28308","N6E28308","2022-06-23 15:20:00.000","Drone","1","18.718596591060432","73.80296380226056","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/bf526bb0-7b1d-40f0-8658-e93617232008?auto=format,compress,enhance&w=400"
"062283523_N6E27533","N6E27533","2022-06-23 15:20:00.000","Drone","1","18.718645424393547","73.80297455226183","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/3f8f48f6-add6-4882-bcfd-5411dd0c404f?auto=format,compress,enhance&w=400"
"062283523_N6E27393","N6E27393","2022-06-23 15:20:00.000","Drone","1","18.71869428550442","73.80298596892976","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/d02562d5-e4f6-4e8c-b1f5-61440294803d?auto=format,compress,enhance&w=400"
"062283523_N6E27557","N6E27557","2022-06-23 15:20:00.000","Drone","1","18.71874117439305","73.80299777448647","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/85a7e5c3-72ef-48ff-b48e-9627620b2fa4?auto=format,compress,enhance&w=400"
"062283523_N6E27382","N6E27382","2022-06-23 15:20:00.000","Drone","1","18.71879297994838","73.80300905226564","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/a9c49874-cd66-4fbe-8f88-76b1363d7ece?auto=format,compress,enhance&w=400"
"062283523_N6E27383","N6E27383","2022-06-23 15:20:00.000","Drone","1","18.71879297994838","73.80300905226564","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/a9c49874-cd66-4fbe-8f88-76b1363d7ece?auto=format,compress,enhance&w=400"
"062283523_N6E27505","N6E27505","2022-06-23 15:20:00.000","Drone","1","18.71894072994768","73.80304266338058","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/17de2f34-2ab4-4b07-8897-b7e654dbc861?auto=format,compress,enhance&w=400"
"062283523_N6E27516","N6E27516","2022-06-23 15:20:00.000","Drone","1","18.71894072994768","73.80304266338058","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/17de2f34-2ab4-4b07-8897-b7e654dbc861?auto=format,compress,enhance&w=400"
"062283523_N6E27473","N6E27473","2022-06-23 15:20:00.000","Drone","1","18.71899081328081","73.80305313560412","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/b8a21ddc-7014-45b4-a78e-34d25ba7fe4d?auto=format,compress,enhance&w=400"
"062283523_N6D45950","N6D45950","2022-06-23 15:20:00.000","Drone","1","18.71899081328081","73.80305313560412","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/b8a21ddc-7014-45b4-a78e-34d25ba7fe4d?auto=format,compress,enhance&w=400"
"062283523_N6E27374","N6E27374","2022-06-23 15:20:00.000","Drone","1","18.719040202169477","73.80306408004985","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/fc78643a-ba10-420c-ac04-36856ff43812?auto=format,compress,enhance&w=400"
